mjd,band,flux,fluxerr,detected_bool
59582.3282,u,0.625179,2.788759,0
59583.2409,u,0.551997,2.463991,0
59584.2432,u,-0.447611,2.486863,0
59585.2363,u,-0.687378,2.839786,0
59586.2371,u,4.730687,3.281504,0
59588.219,r,0.440885,1.143152,0
59588.2266,g,0.589225,0.994212,0
59588.2343,i,1.666904,1.53773,0
59588.2452,z,-2.727516,2.189982,0
59588.2562,Y,7.960295,5.792264,0
59591.2092,r,-3.150733,1.88199,0
59591.2168,g,-2.401335,2.035219,0
59591.2244,i,-2.6784,2.020366,0
59591.2353,z,0.974838,2.840562,0
59591.2463,Y,4.924335,5.870486,0
59594.2644,r,0.626578,2.190517,0
59594.272,g,-0.996487,2.968179,0
59594.2796,i,2.303225,2.502552,0
59594.2905,z,-1.940547,2.967336,0
59594.3015,Y,13.133288,7.022987,0
59618.1948,r,-0.929422,1.047603,0
59618.2024,g,0.084151,1.145945,0
59618.2101,i,1.652541,1.834728,0
59618.221,z,0.690173,2.836994,0
59618.232,Y,3.061773,6.555271,0
59621.1291,r,3.940249,2.487304,0
59621.1367,g,-1.877511,3.14104,0
59621.1443,i,-0.00639,2.712726,0
59621.1553,z,-0.021437,2.828373,0
59621.1662,Y,7.368113,5.833944,0
59645.1015,u,-1.023694,2.698589,0
59646.0655,r,1.108005,1.615064,0
59646.0731,g,2.354274,1.571841,0
59646.0808,i,0.748171,2.479414,0
59646.0917,z,-1.650066,3.993332,0
59646.1026,Y,-8.002108,8.862726,0
59649.0488,r,1.136479,1.696518,0
59649.0564,g,0.807387,2.101261,0
59649.064,i,0.748942,2.113513,0
59649.075,z,2.413209,2.974028,0
59649.0859,Y,0.534896,6.2607,0
59660.0422,r,1.054106,1.063078,0
59660.0499,g,-1.18274,1.105613,0
59660.0575,i,-4.975075,2.164214,0
59660.0684,z,-5.137343,3.533677,0
59660.0794,Y,9.943001,7.62479,0
59663.0147,r,0.150301,1.575106,0
59663.0223,g,1.006275,1.612632,0
59663.0299,i,-1.556239,2.436897,0
59663.0409,z,-2.113394,3.77,0
59663.0518,Y,-3.562935,8.556995,0
59666.018,r,-2.511985,1.637655,0
59666.0256,g,2.544499,1.745492,0
59666.0332,i,0.168208,2.947514,0
59666.0442,z,2.808904,4.624245,0
59666.0551,Y,10.09095,8.546104,0
59670.0091,u,-1.730268,3.307799,0
59679.0073,r,0.012618,1.541925,0
59679.0149,g,-0.238858,1.983619,0
59679.0225,i,-2.415265,1.921029,0
59679.0334,z,-1.013354,2.215566,0
59679.0444,Y,-15.848013,4.886109,0
59687.9971,r,4.163365,2.078382,0
59688.0047,g,3.276663,2.724955,0
59688.0123,i,0.490534,2.427572,0
59688.0233,z,-2.774626,2.816204,0
59688.0342,Y,-5.486075,6.536921,0
59690.9931,r,0.870787,1.036174,0
59691.0007,g,0.171245,0.971255,0
59691.0084,i,-0.415969,1.640441,0
59691.0193,z,-2.757652,2.318499,0
59691.0303,Y,2.8996,5.674372,0
59693.9927,r,-0.125087,1.186832,0
59694.0004,g,0.121282,1.158555,0
59694.008,i,2.490815,1.932139,0
59694.0189,z,3.549792,2.61568,0
59694.0299,Y,-0.166528,6.002338,0
59701.9889,u,-2.110668,2.123281,0
59702.9858,u,0.613419,1.755006,0
59704.0667,u,0.938958,1.640098,0
59947.332,r,0.153521,1.367833,0
59947.3396,g,-1.295339,1.302562,0
59947.3472,i,0.267745,2.065984,0
59947.3582,z,-3.289501,3.952704,0
59947.3652,Y,44.475002,62.499638,0
59957.2886,r,3.180878,1.725886,0
59957.2962,g,-2.784064,2.3936,0
59957.3038,i,0.982807,2.21185,0
59957.3147,z,-0.694944,2.489563,0
59957.3257,Y,2.31225,5.109984,0
59962.1943,r,0.25341,0.923028,0
59962.2019,g,0.471891,0.810624,0
59962.2095,i,1.032533,1.320098,0
59962.2205,z,1.594731,1.869255,0
59962.2314,Y,-3.464895,4.712846,0
59968.1942,u,-1.253664,2.274713,0
59973.1868,r,0.044273,1.112882,0
59973.1944,g,-0.696334,1.002134,0
59973.202,i,-0.602013,1.462246,0
59973.213,z,-0.694272,1.870423,0
59973.2239,Y,3.033237,4.64995,0
59976.159,r,1.765379,2.324504,0
59976.1666,g,-2.475107,3.548485,0
59976.1742,i,5.585385,2.46123,0
59976.1851,z,-2.005959,2.882474,0
59976.1961,Y,0.297617,6.553602,0
59988.1333,r,1.993464,1.028851,0
59988.1409,g,-1.00178,1.11592,0
59988.1485,i,-0.670677,1.834444,0
59988.1595,z,-1.864401,2.743269,0
59988.1704,Y,4.394695,5.92042,0
59991.115,r,1.179111,1.051716,0
59991.1226,g,1.051118,0.956296,0
59991.1303,i,0.211508,1.669832,0
59991.1412,z,-0.405645,2.502464,0
59991.1522,Y,10.42121,6.117885,0
59997.1332,u,-0.414173,1.832467,0
59998.1098,u,0.404059,1.628615,0
59999.1152,u,-1.543069,1.874091,0
60003.231,r,-0.044717,1.121635,0
60003.2386,g,-0.58141,1.040927,0
60003.2462,i,1.93847,1.727506,0
60003.2572,z,-5.143143,3.093572,0
60003.2681,Y,-16.371717,8.009478,0
60016.0879,r,0.018963,0.988156,0
60016.0955,g,0.125578,1.234237,0
60016.1032,i,4.384465,1.604854,0
60016.1141,z,-0.852907,2.273518,0
60016.1251,Y,8.259059,5.454987,0
60019.0384,r,-1.420232,1.446449,0
60019.046,g,0.546522,1.201586,0
60019.0536,i,0.48034,1.982155,0
60019.0646,z,0.210427,2.89998,0
60019.0755,Y,4.698965,6.816694,0
60027.062,u,-2.000898,1.473178,0
60028.0517,u,-1.379877,1.656871,0
60029.0778,u,-2.030984,1.589584,0
60031.0127,r,-0.888899,0.87752,0
60031.0203,g,0.447461,0.951804,0
60031.028,i,2.678701,1.241856,0
60031.0389,z,-0.665344,1.825356,0
60031.0499,Y,-7.382921,4.30716,0
60045.0129,r,0.901855,1.023185,0
60045.0206,g,-1.928622,1.04516,0
60045.0282,i,1.507225,1.490876,0
60045.0391,z,3.64868,1.934312,0
60045.0501,Y,-3.26563,5.219448,0
60049.9972,r,1.511901,1.040977,0
60050.0048,g,-0.257909,1.018932,0
60050.0124,i,3.253983,1.362761,0
60050.0234,z,1.749787,1.885107,0
60050.0343,Y,1.008712,4.606031,0
60051.0083,u,-4.023258,1.873515,0
60051.996,u,2.021505,1.547964,0
60052.9954,u,0.415513,1.490902,0
60053.9947,u,0.500985,1.474838,0
60054.9946,u,1.709335,1.480855,0
60055.993,u,-0.800005,1.654911,0
60056.9927,u,1.844033,1.601,0
60071.9837,r,16.382175,1.504208,1
60071.9913,g,4.339582,2.062328,0
60071.9989,i,24.738562,2.07583,1
60072.0099,z,24.853861,2.416799,1
60072.0208,Y,25.878056,5.739552,0
60076.9817,r,56.933144,0.817645,1
60076.9893,g,22.115768,0.769529,1
60076.9969,i,78.36512,1.264635,1
60077.0078,z,93.874008,1.921486,1
60077.0188,Y,70.973465,4.972779,1
60079.9893,u,2.760526,2.002053,0
60327.3158,r,0.122716,1.37092,0
60327.3234,g,1.789521,1.380559,0
60327.331,i,-1.83506,2.208112,0
60327.342,z,-3.281817,3.414485,0
60327.3529,Y,9.297029,8.763108,0
60330.1879,r,0.466743,2.656304,0
60330.1956,g,-1.423934,3.507495,0
60330.2032,i,1.391896,2.778874,0
60330.2141,z,6.220545,3.421423,0
60330.2251,Y,2.319756,7.661806,0
60341.1652,r,0.478779,1.429839,0
60341.1729,g,2.891713,1.937566,0
60341.1805,i,0.800539,1.795644,0
60341.1914,z,0.782689,2.23411,0
60341.2024,Y,0.59468,4.959664,0
60345.1451,r,-0.074619,1.02372,0
60345.1528,g,-0.47337,0.966469,0
60345.1604,i,1.744577,1.548175,0
60345.1713,z,-1.583991,2.267863,0
60345.1823,Y,-12.771152,5.467041,0
60356.2036,r,0.499301,0.966298,0
60356.2113,g,-2.618077,0.967743,0
60356.2189,i,0.489122,1.53408,0
60356.2298,z,0.651431,2.328536,0
60356.2408,Y,-0.858324,5.824998,0
60359.1082,r,-0.258903,1.693426,0
60359.1158,g,3.289199,2.25293,0
60359.1234,i,0.855611,1.863549,0
60359.1344,z,1.460056,2.256428,0
60359.1453,Y,5.601725,5.003474,0
60370.1744,r,-2.423673,2.046138,0
60370.182,g,4.074618,2.94782,0
60370.1896,i,-3.941043,2.417951,0
60370.2006,z,-3.559015,3.097637,0
60370.2115,Y,-9.403732,7.199931,0
60373.0718,r,0.655521,1.56056,0
60373.0794,g,1.300885,1.525264,0
60373.087,i,0.762787,2.311564,0
60373.098,z,-1.04564,3.38337,0
60373.1089,Y,7.608554,8.121408,0
60376.0629,r,-0.76948,1.350986,0
60376.0705,g,2.476583,1.314927,0
60376.0781,i,-1.690245,2.011754,0
60376.089,z,0.302202,2.964904,0
60376.1,Y,6.531628,7.111303,0
60381.21,u,0.691088,2.837706,0
60382.1088,u,1.40977,3.019464,0
60383.1249,u,4.594647,2.913265,0
60386.1093,r,-0.485657,0.97674,0
60386.1169,g,0.014785,1.037954,0
60386.1246,i,0.065448,1.407076,0
60386.1355,z,2.660862,2.053065,0
60386.1465,Y,-1.800909,5.016847,0
60400.0093,r,1.130309,1.535093,0
60400.0169,g,2.237112,1.484843,0
60400.0246,i,0.753129,2.307165,0
60400.0355,z,-1.346559,3.380931,0
60400.0465,Y,-7.218891,8.080844,0
60403.0182,r,1.097831,1.529118,0
60403.0258,g,0.591072,1.505718,0
60403.0334,i,0.872124,2.310788,0
60403.0444,z,2.82441,3.42302,0
60403.0553,Y,0.780312,8.288585,0
60414.9975,r,1.024645,0.972379,0
60415.0051,g,-1.166338,1.099689,0
60415.0127,i,-3.00091,1.323433,0
60415.0237,z,-2.678721,1.867279,0
60415.0346,Y,5.981368,4.544748,0
60427.0016,r,0.239149,1.98164,0
60427.0093,g,1.602099,2.553925,0
60427.0169,i,-1.662301,2.653439,0
60427.0278,z,-1.89085,3.422718,0
60427.0388,Y,-3.218885,7.836284,0
60430.987,r,-1.141982,0.774852,0
60430.9946,g,1.102484,0.752157,0
60431.0022,i,0.099708,1.231997,0
60431.0131,z,1.168191,1.881433,0
60431.0241,Y,5.572742,4.686468,0
60433.9853,r,-0.380373,0.813071,0
60433.9929,g,0.013572,0.797909,0
60434.0005,i,-0.128116,1.29354,0
60434.0115,z,-2.460777,1.976296,0
60434.0224,Y,-2.215307,4.927075,0
60435.9857,u,-8.288615,2.555825,0
60436.984,u,5.880742,2.952225,0
