mjd,band,flux,fluxerr,detected_bool
59582.3282,u,0.156879,2.735149,0
59583.2409,u,-0.205267,2.415663,0
59584.2432,u,3.055304,2.453336,0
59585.2363,u,-5.92363,2.786958,0
59586.2371,u,-0.700366,3.204645,0
59588.219,r,-0.05183,1.131369,0
59588.2266,g,-0.492328,0.978924,0
59588.2343,i,-1.139344,1.525104,0
59588.2452,z,-0.468523,2.177115,0
59588.2562,Y,-5.933331,5.760136,0
59591.2092,r,2.366893,1.863747,0
59591.2168,g,1.647739,2.00653,0
59591.2244,i,-0.880757,2.004863,0
59591.2353,z,5.215213,2.825211,0
59591.2463,Y,-1.732822,5.839315,0
59594.2644,r,4.228198,2.169454,0
59594.272,g,-5.142502,2.925056,0
59594.2796,i,2.977177,2.483618,0
59594.2905,z,2.255024,2.950555,0
59594.3015,Y,9.596955,6.986895,0
59618.1948,r,0.647923,1.037407,0
59618.2024,g,1.171059,1.130472,0
59618.2101,i,1.722126,1.820721,0
59618.221,z,4.021824,2.821369,0
59618.232,Y,-4.547556,6.521716,0
59621.1291,r,2.939174,2.461935,0
59621.1367,g,0.5247,3.095455,0
59621.1443,i,-1.84778,2.691978,0
59621.1553,z,0.296334,2.811888,0
59621.1662,Y,-3.893378,5.801866,0
59645.1015,u,-3.729529,2.64827,0
59646.0655,r,-0.382292,1.598328,0
59646.0731,g,-1.83954,1.546927,0
59646.0808,i,-1.733632,2.460216,0
59646.0917,z,-3.406733,3.969964,0
59646.1026,Y,8.013469,8.821127,0
59649.0488,r,3.266868,1.680251,0
59649.0564,g,-3.743932,2.070277,0
59649.064,i,1.869922,2.097763,0
59649.075,z,-1.180518,2.95595,0
59649.0859,Y,-0.676036,6.22951,0
59660.0422,r,-0.556781,1.051724,0
59660.0499,g,0.318566,1.089861,0
59660.0575,i,1.248277,2.147957,0
59660.0684,z,-3.010297,3.51292,0
59660.0794,Y,-12.774528,7.583975,0
59663.0147,r,0.872864,1.559516,0
59663.0223,g,-2.477283,1.588339,0
59663.0299,i,0.986353,2.418553,0
59663.0409,z,1.772375,3.748287,0
59663.0518,Y,-1.58789,8.514641,0
59666.018,r,-1.494721,1.621098,0
59666.0256,g,0.896222,1.718775,0
59666.0332,i,-2.664359,2.924938,0
59666.0442,z,1.281153,4.59688,0
59666.0551,Y,-13.446011,8.501041,0
59670.0091,u,-0.374919,3.246004,0
59679.0073,r,-3.295417,1.526452,0
59679.0149,g,3.541816,1.95686,0
59679.0225,i,0.47517,1.906475,0
59679.0334,z,3.162549,2.203753,0
59679.0444,Y,-2.885439,4.861372,0
59687.9971,r,-1.190864,2.056149,0
59688.0047,g,-2.625692,2.683897,0
59688.0123,i,-1.433308,2.40885,0
59688.0233,z,-2.984637,2.799711,0
59688.0342,Y,2.370494,6.505421,0
59690.9931,r,0.047146,1.025228,0
59691.0007,g,-1.058271,0.956899,0
59691.0084,i,-0.304569,1.627885,0
59691.0193,z,3.006347,2.305951,0
59691.0303,Y,-0.401879,5.645033,0
59693.9927,r,1.232467,1.17551,0
59694.0004,g,-1.66668,1.141578,0
59694.008,i,1.803113,1.917064,0
59694.0189,z,-1.434113,2.599242,0
59694.0299,Y,-2.379071,5.972649,0
59701.9889,u,2.002552,2.091983,0
59702.9858,u,-2.333017,1.71931,0
59704.0667,u,-1.690017,1.604344,0
59947.332,r,0.383521,1.354139,0
59947.3396,g,0.696161,1.284247,0
59947.3472,i,-1.575282,2.050087,0
59947.3582,z,-2.702715,3.929538,0
59947.3652,Y,-27.179859,62.156502,0
59957.2886,r,-1.827317,1.70738,0
59957.2962,g,1.122048,2.359193,0
59957.3038,i,-3.198564,2.194643,0
59957.3147,z,-6.715234,2.475182,0
59957.3257,Y,-5.568402,5.083663,0
59962.1943,r,0.866734,0.914157,0
59962.2019,g,0.507335,0.798883,0
59962.2095,i,0.888377,1.30991,0
59962.2205,z,0.582112,1.857862,0
59962.2314,Y,-0.568591,4.689499,0
59968.1942,u,-3.046808,2.232286,0
59973.1868,r,-1.161173,1.101644,0
59973.1944,g,2.464795,0.990853,0
59973.202,i,3.658936,1.453102,0
59973.213,z,-0.694032,1.859466,0
59973.2239,Y,-2.396668,4.625343,0
59976.159,r,1.493361,2.300981,0
59976.1666,g,-1.891064,3.496767,0
59976.1742,i,-4.097245,2.440614,0
59976.1851,z,3.670556,2.866635,0
59976.1961,Y,6.344586,6.523543,0
59988.1333,r,-0.376898,1.0172,0
59988.1409,g,-0.414229,1.099647,0
59988.1485,i,-3.086558,1.820462,0
59988.1595,z,-0.768467,2.727187,0
59988.1704,Y,6.395155,5.892008,0
59991.115,r,0.308713,1.040565,0
59991.1226,g,0.927649,0.942203,0
59991.1303,i,-0.489007,1.656954,0
59991.1412,z,-0.970659,2.487808,0
59991.1522,Y,-3.530749,6.083206,0
59997.1332,u,1.500928,1.80587,0
59998.1098,u,-1.846036,1.595836,0
59999.1152,u,-0.15307,1.839065,0
60003.231,r,-0.305847,1.110319,0
60003.2386,g,-0.490514,1.025758,0
60003.2462,i,0.817647,1.713764,0
60003.2572,z,1.785026,3.075828,0
60003.2681,Y,-2.315303,7.969476,0
60016.0879,r,2.509865,0.979825,0
60016.0955,g,2.527515,1.218586,0
60016.1032,i,3.690234,1.592213,0
60016.1141,z,3.098434,2.261313,0
60016.1251,Y,-2.995454,5.424181,0
60019.0384,r,0.297447,1.431971,0
60019.046,g,1.299515,1.184961,0
60019.0536,i,3.7569,1.968363,0
60019.0646,z,-1.261985,2.88294,0
60019.0755,Y,9.061336,6.784667,0
60027.062,u,1.122236,1.452442,0
60028.0517,u,2.182849,1.638169,0
60029.0778,u,0.760787,1.563983,0
60031.0127,r,4.448372,0.872096,0
60031.0203,g,3.761331,0.942534,0
60031.028,i,5.296594,1.23418,0
60031.0389,z,8.119031,1.818621,0
60031.0499,Y,3.791667,4.287917,0
60045.0129,r,6.415904,1.01672,0
60045.0206,g,4.528716,1.035655,0
60045.0282,i,9.179014,1.484072,1
60045.0391,z,11.257981,1.926764,0
60045.0501,Y,15.124464,5.201177,0
60049.9972,r,7.333543,1.034619,1
60050.0048,g,2.217688,1.00692,0
60050.0124,i,9.424158,1.356496,1
60050.0234,z,12.180385,1.879316,1
60050.0343,Y,12.132549,4.589506,0
60051.0083,u,3.616277,1.855392,0
60051.996,u,0.726418,1.511836,0
60052.9954,u,0.771456,1.46517,0
60053.9947,u,1.787514,1.454767,0
60054.9946,u,0.349485,1.445527,0
60055.993,u,-2.429402,1.624057,0
60056.9927,u,0.909016,1.566239,0
60071.9837,r,8.189764,1.484066,0
60071.9913,g,0.126346,2.029877,0
60071.9989,i,11.352761,2.052293,1
60072.0099,z,11.922336,2.396192,1
60072.0208,Y,21.167196,5.708767,0
60076.9817,r,5.660307,0.712921,1
60076.9893,g,2.240181,0.714639,0
60076.9969,i,10.156093,1.151494,1
60077.0078,z,14.281413,1.82388,1
60077.0188,Y,14.712202,4.909538,0
60079.9893,u,-0.067752,1.952741,0
60327.3158,r,-0.761553,1.357039,0
60327.3234,g,-0.889698,1.358773,0
60327.331,i,-1.477114,2.191204,0
60327.342,z,3.664556,3.395349,0
60327.3529,Y,22.40144,8.724017,0
60330.1879,r,-1.613107,2.62941,0
60330.1956,g,-1.559088,3.456389,0
60330.2032,i,-1.069028,2.757222,0
60330.2141,z,-0.938492,3.399821,0
60330.2251,Y,-5.046016,7.623172,0
