mjd,band,flux,fluxerr,detected_bool
59798.3205,r,1.28152,1.358648,0
59798.3281,g,1.30301,1.151028,0
59798.3357,i,-1.450785,1.764392,0
59798.3466,z,-0.890831,2.603667,0
59798.3576,Y,-12.398256,5.369058,0
59801.3553,r,2.633761,2.450909,0
59801.3629,g,-0.384745,3.542449,0
59801.3705,i,0.630836,2.285609,0
59801.3815,z,2.119244,2.517363,0
59801.3924,Y,-1.646729,5.382586,0
59818.274,u,6.249076,1.820119,0
59819.2541,u,1.863736,2.443952,0
59820.2522,u,1.793015,1.910097,0
59821.2478,u,-0.277942,2.437658,0
59822.2433,u,1.890475,2.863875,0
59823.2659,u,0.709175,2.695901,0
59826.3105,r,2.635633,0.922952,0
59826.3181,g,-0.659831,0.923947,0
59826.3258,i,-0.623752,1.508694,0
59826.3367,z,-0.86574,2.157135,0
59826.3477,Y,-5.137986,5.537292,0
59842.2456,r,0.003581,0.850119,0
59842.2532,g,1.273568,0.816388,0
59842.2608,i,-1.483472,1.321451,0
59842.2718,z,2.381905,2.167938,0
59842.2827,Y,12.830565,6.075105,0
59851.1792,u,-3.400071,2.577452,0
59854.1485,r,-0.151742,1.224917,0
59854.1563,g,0.075504,1.337214,0
59854.164,i,1.398254,1.903068,0
59854.175,z,0.037001,2.771232,0
59854.186,Y,-0.6982,5.789972,0
59857.1408,r,-1.402214,2.131763,0
59857.1485,g,-0.532131,2.917564,0
59857.1563,i,1.467884,2.094306,0
59857.1673,z,2.851813,2.678532,0
59857.1782,Y,-14.140274,6.630112,0
59867.1112,r,-0.061153,1.083748,0
59867.1189,g,1.776961,0.977631,0
59867.1267,i,0.005426,1.539289,0
59867.1377,z,1.447979,2.358482,0
59867.1487,Y,-0.856413,5.832207,0
59870.1049,r,0.896115,0.972101,0
59870.1126,g,1.442209,0.824859,0
59870.1204,i,-0.078011,1.37332,0
59870.1314,z,3.211279,2.285297,0
59870.1424,Y,0.818554,5.28103,0
59873.0971,r,0.096903,1.041509,0
59873.1049,g,0.948967,1.04366,0
59873.1126,i,-0.317642,1.442235,0
59873.1236,z,-0.926195,2.069532,0
59873.1346,Y,1.344609,4.589732,0
59874.1461,u,-0.661305,1.613092,0
59875.0995,u,-2.198567,2.021968,0
59876.098,u,-1.177519,2.431544,0
59877.0976,u,-2.609718,1.764331,0
59878.0964,u,-2.566337,2.013608,0
59879.0895,u,-0.447885,1.86328,0
59880.1017,u,0.659976,1.377076,0
59884.176,r,-0.602699,0.768346,0
59884.1836,g,0.043453,0.887485,0
59884.1913,i,-1.542852,1.139067,0
59884.2022,z,-0.103528,1.609691,0
59884.2132,Y,-3.63675,4.211662,0
59887.2856,r,0.164645,1.827273,0
59887.2933,g,-1.80211,2.207587,0
59887.3009,i,-3.07122,2.351548,0
59887.3118,z,-0.253345,3.146303,0
59887.3228,Y,1.337515,7.950393,0
59896.1307,r,0.605941,0.822877,0
59896.1384,g,0.364358,0.704339,0
59896.146,i,-1.61727,1.393846,0
59896.1569,z,1.461793,2.19374,0
59896.1679,Y,-1.2748,5.949596,0
59899.1519,r,1.131786,1.366286,0
59899.1595,g,0.635381,1.388999,0
59899.1672,i,0.026998,2.379208,0
59899.1781,z,-0.59204,3.710457,0
59899.1891,Y,-11.766708,7.908111,0
59902.1384,r,-0.225215,1.186692,0
59902.146,g,-0.215671,1.079124,0
59902.1537,i,0.144447,1.943883,0
59902.1646,z,-4.061964,2.763798,0
59902.1755,Y,5.243328,7.027756,0
59904.1053,u,-1.01489,2.283696,0
59905.0555,u,0.328085,2.505691,0
59906.0562,u,0.442004,2.02923,0
59907.0567,u,0.533183,1.75166,0
59908.0681,u,-1.954577,2.686427,0
59909.0582,u,-1.523093,1.836014,0
59910.0503,u,0.440225,1.867835,0
59914.0526,r,-0.634395,1.439646,0
59914.0602,g,-0.419674,1.95829,0
59914.0678,i,-2.054636,1.687048,0
59914.0788,z,-0.061754,2.26825,0
59914.0897,Y,-8.454185,5.356786,0
59924.106,r,-0.930558,1.132408,0
59924.1136,g,0.510955,1.575706,0
59924.1212,i,-1.128402,1.72949,0
59924.1322,z,3.567318,2.528972,0
59924.1431,Y,0.424755,5.633198,0
59927.1074,r,0.364767,1.191716,0
59927.1151,g,-0.404684,1.134754,0
59927.1227,i,1.21923,1.593537,0
59927.1336,z,-2.222758,2.299669,0
59927.1446,Y,-1.224871,5.89143,0
59930.1236,r,0.781314,0.942193,0
59930.1312,g,0.391866,0.830059,0
59930.1388,i,-2.207346,1.283695,0
59930.1498,z,0.646571,2.032953,0
59930.1607,Y,-12.108856,5.331749,0
59933.1249,r,-0.482662,0.691661,0
59933.1325,g,0.039693,0.6946,0
59933.1401,i,-1.083813,1.269349,0
59933.1511,z,-1.912484,1.914534,0
59933.162,Y,1.364153,5.428016,0
59934.0638,u,-0.412613,1.142142,0
59935.0646,u,-1.21844,1.124042,0
59936.0642,u,-0.883054,1.521127,0
59937.065,u,1.592002,1.649572,0
59938.0647,u,-0.110012,2.000189,0
59939.065,u,-2.812999,2.19654,0
60165.3032,r,-0.377535,1.195676,0
60165.3109,g,-2.514355,1.348444,0
60165.3186,i,0.889699,1.519423,0
60165.3295,z,0.032187,2.023514,0
60165.3405,Y,-2.575094,4.783312,0
60168.2892,r,-1.845163,0.834507,0
60168.297,g,-1.5113,0.788571,0
60168.3047,i,1.124038,1.301583,0
60168.3157,z,0.126797,2.066595,0
60168.3267,Y,7.421578,4.821727,0
60176.282,u,0.354144,2.367088,0
60177.2726,u,0.072149,2.769455,0
60181.4088,r,1.845465,0.925927,0
60181.4164,g,-0.534983,1.263127,0
60181.4232,i,2.278462,3.239638,0
60183.266,r,-2.098741,1.916709,0
60183.2736,g,-2.052085,2.937863,0
60183.2812,i,-2.770887,2.549017,0
60183.2922,z,1.73965,2.996186,0
60183.3031,Y,1.883654,6.180593,0
60195.2812,r,0.943862,0.93439,0
60195.2888,g,0.058388,1.021345,0
60195.2964,i,1.244728,1.626916,0
60195.3073,z,4.444283,2.341537,0
60195.3183,Y,-1.842122,6.27668,0
60198.269,u,0.079515,2.171777,0
60199.2186,u,-1.824495,2.156804,0
60200.2139,u,0.656579,2.593532,0
60201.2072,u,-3.849937,2.493495,0
60202.2089,u,4.134043,2.503179,0
60209.1811,r,0.489855,1.566508,0
60209.1888,g,0.463748,1.411571,0
60209.1965,i,-0.686579,1.832515,0
60209.2075,z,-3.373611,2.910031,0
60209.2184,Y,1.73563,6.698807,0
60212.1675,r,-2.269288,1.936763,0
60212.1753,g,2.939003,2.755477,0
60212.183,i,2.86654,2.297016,0
60212.1941,z,-2.720692,2.591771,0
60212.205,Y,-3.72565,5.663105,0
60223.2416,r,-0.537539,1.182927,0
60223.2493,g,-0.757496,1.241941,0
60223.2569,i,-2.771629,1.649477,0
60223.2678,z,0.27027,2.473658,0
60223.2788,Y,-1.356202,5.795883,0
60226.3337,r,0.796277,0.945619,0
60226.3413,g,-0.700095,0.945028,0
60226.3489,i,0.45656,1.794224,0
60226.3599,z,1.929268,3.071872,0
60226.3708,Y,-3.343354,8.111597,0
60238.3197,r,1.29124,1.054697,0
60238.3273,g,2.72811,1.156628,0
60238.3349,i,1.165427,2.172267,0
60238.3459,z,-4.873395,3.830515,0
60238.3568,Y,20.36409,11.26318,0
60241.087,r,1.799062,2.000818,0
60241.0948,g,-3.564432,3.068546,0
60241.1025,i,-0.368568,2.445998,0
