mjd,band,flux,fluxerr,detected_bool
59770.3662,r,-0.141688,0.624738,0
59770.374,g,0.267495,0.611314,0
59770.3817,i,1.043192,1.059224,0
59770.3928,z,0.553926,1.816107,0
59770.4039,Y,7.370838,4.63446,0
59779.3999,r,1.83992,2.068648,0
59779.4075,g,3.868683,2.813456,0
59779.4151,i,-4.936878,2.470781,0
59779.4261,z,-1.196748,3.281049,0
59779.437,Y,-6.79404,8.587645,0
59782.2372,r,-2.776019,1.229973,0
59782.245,g,1.346421,1.164357,0
59782.2527,i,4.632082,2.074267,0
59782.2639,z,1.969185,2.567224,0
59782.2751,Y,1.811017,6.339556,0
59797.3336,r,1.445685,0.994987,0
59797.3412,g,-0.23904,0.9584,0
59797.3489,i,0.871614,1.694524,0
59797.3598,z,3.502744,2.61,0
59797.3708,Y,10.012907,5.307646,0
59800.2328,r,-0.416167,2.31099,0
59800.2406,g,-2.345929,3.344177,0
59800.2483,i,-0.094152,2.468628,0
59800.2594,z,1.963361,2.722039,0
59800.2706,Y,3.856259,6.076264,0
59808.2223,r,3.517762,1.390932,0
59808.2301,g,0.345011,1.800072,0
59808.2378,i,5.423001,1.618715,1
59808.2489,z,18.922199,2.043911,1
59808.2601,Y,13.617266,4.213766,0
59811.128,r,2.282052,1.098518,1
59811.1357,g,2.139293,0.983579,0
59811.1435,i,12.151121,1.735635,1
59811.1546,z,16.169601,2.573776,1
59811.1658,Y,13.88777,5.458828,0
59814.1206,r,1.637273,0.917452,0
59814.1283,g,1.07241,0.90049,0
59814.1361,i,15.099151,1.40328,1
59814.1472,z,23.408079,2.09231,1
59814.1584,Y,27.772989,4.864579,0
59818.2219,u,1.932216,1.670461,0
59819.1176,u,-2.424459,1.89584,0
59820.1134,u,-1.118425,1.741889,0
59821.1113,u,0.919253,2.694061,0
59822.1192,u,-0.885205,2.796734,0
59823.1592,u,-3.405569,2.789008,0
59826.3574,r,0.827175,0.895149,0
59826.365,g,1.293404,1.02557,0
59826.3726,i,4.793878,1.605716,0
59826.3835,z,21.535133,2.515221,1
59826.3945,Y,21.115305,6.710609,0
59836.1402,r,0.512561,1.412888,0
59836.1479,g,-1.701479,2.025473,0
59836.1556,i,5.387751,1.760893,0
59836.1667,z,12.677716,2.145952,1
59836.1778,Y,10.882002,4.540601,0
59839.0783,r,1.659913,0.80723,0
59839.086,g,0.235776,0.808381,0
59839.0937,i,1.069035,1.367372,0
59839.1048,z,7.976445,2.098725,0
59839.1159,Y,10.804863,4.771186,0
59842.0683,r,0.504288,0.79731,0
59842.0761,g,1.557786,0.723676,0
59842.0838,i,3.887428,1.242557,0
59842.095,z,10.747771,1.828129,0
59842.1061,Y,8.417809,4.465297,0
59851.144,u,1.464021,1.793407,0
59854.0225,r,-1.3068,1.19644,0
59854.0303,g,0.718001,1.423687,0
59854.038,i,-1.596756,1.701499,0
59854.0492,z,4.709064,2.535898,0
59854.0603,Y,8.096048,6.402269,0
59857.0931,r,0.376459,1.764298,0
59857.1008,g,-1.411265,2.519926,0
59857.1085,i,2.687981,2.116373,0
59857.1196,z,7.151163,2.557002,0
59857.1307,Y,-10.134765,5.398913,0
59866.0173,r,0.371207,0.750116,0
59866.025,g,-0.265301,0.727474,0
59866.0327,i,-0.856677,1.196875,0
59866.0438,z,4.038278,1.990569,0
59866.0548,Y,5.081045,5.341175,0
59869.0189,r,0.393374,0.725196,0
