mjd,band,flux,fluxerr,detected_bool
59798.3205,r,-0.531033,1.367512,0
59798.3281,g,1.838122,1.16329,0
59798.3357,i,-1.23292,1.773703,0
59798.3466,z,-0.655777,2.614169,0
59798.3576,Y,-0.487269,5.387017,0
59801.3553,r,-2.141332,2.467372,0
59801.3629,g,1.478666,3.578708,0
59801.3705,i,-0.910002,2.297476,0
59801.3815,z,-0.301936,2.526848,0
59801.3924,Y,5.223165,5.403273,0
59818.274,u,1.063856,1.815884,0
59819.2541,u,-1.120923,2.467562,0
59820.2522,u,2.716198,1.939756,0
59821.2478,u,1.667784,2.476573,0
59822.2433,u,-1.182745,2.893915,0
59823.2659,u,0.305134,2.729438,0
59826.3105,r,0.035923,0.927569,0
59826.3181,g,-0.255086,0.933281,0
59826.3258,i,0.475299,1.516897,0
59826.3367,z,-3.06781,2.165883,0
59826.3477,Y,10.249383,5.560749,0
59842.2456,r,0.421247,0.856353,0
59842.2532,g,0.298407,0.823104,0
59842.2608,i,-0.475291,1.328409,0
59842.2718,z,2.239818,2.176625,0
59842.2827,Y,12.34868,6.09556,0
59851.1792,u,-3.028144,2.610952,0
59854.1485,r,-0.16856,1.233458,0
59854.1563,g,-0.151199,1.350659,0
59854.164,i,1.813086,1.913289,0
59854.175,z,-4.200299,2.782474,0
59854.186,Y,-1.902433,5.809692,0
59857.1408,r,1.351023,2.147011,0
59857.1485,g,-2.123801,2.947081,0
59857.1563,i,-0.027236,2.104818,0
59857.1673,z,-3.541698,2.688511,0
59857.1782,Y,10.071149,6.656233,0
59867.1112,r,-1.783559,1.091343,0
59867.1189,g,0.165262,0.985187,0
59867.1267,i,0.621385,1.547728,0
59867.1377,z,2.883059,2.368511,0
59867.1487,Y,4.965159,5.854212,0
59870.1049,r,-0.285017,0.97827,0
59870.1126,g,-0.322045,0.830748,0
59870.1204,i,0.601214,1.380912,0
59870.1314,z,-3.996189,2.293419,0
59870.1424,Y,-5.762454,5.298701,0
59873.0971,r,-0.741273,1.048717,0
59873.1049,g,2.170908,1.055853,0
59873.1126,i,-0.547664,1.44985,0
59873.1236,z,-1.191428,2.077884,0
59873.1346,Y,1.563786,4.605474,0
59874.1461,u,-1.724345,1.634099,0
59875.0995,u,-3.746382,2.048353,0
59876.098,u,-1.320655,2.463164,0
59877.0976,u,0.771835,1.791521,0
59878.0964,u,1.236721,2.045856,0
59879.0895,u,-3.447472,1.887634,0
59880.1017,u,-1.51718,1.390629,0
59884.176,r,0.624974,0.774179,0
59884.1836,g,-0.107701,0.896401,0
59884.1913,i,0.884234,1.145649,0
59884.2022,z,0.144574,1.616255,0
59884.2132,Y,-3.147172,4.225993,0
