mjd,band,flux,fluxerr,detected_bool
59750.4229,r,-2.247476,1.52696,0
59750.4306,g,1.159892,2.149246,0
59750.4383,i,0.176623,2.327108,0
59750.445,z,-22.061485,10.40721,0
59752.407,r,0.129427,1.079937,0
59752.4147,g,1.132532,1.130844,0
59752.4224,i,-0.011596,1.476897,0
59752.4334,z,-3.958566,2.367988,0
59752.4435,Y,7.599053,9.546734,0
59767.2968,r,-1.516397,0.893891,0
59767.3045,g,0.97466,0.777389,0
59767.3122,i,-0.817053,1.351632,0
59767.3233,z,-0.544894,2.157919,0
59767.3343,Y,0.208803,5.02138,0
59770.2179,r,3.055265,2.064601,0
59770.2256,g,-5.601525,2.816059,0
59770.2334,i,1.272489,2.165104,0
59770.2445,z,-5.535889,2.689727,0
59770.2557,Y,1.605477,6.324476,0
59779.3188,r,1.719544,2.352603,0
59779.3265,g,-4.941763,2.865645,0
59779.3342,i,-0.280799,2.273185,0
59779.3452,z,-0.973331,2.994447,0
59779.3562,Y,8.395433,7.133039,0
59782.1897,r,-2.384013,1.465094,0
59782.1974,g,0.551306,1.411387,0
59782.2051,i,-2.104134,2.365453,0
59782.2162,z,7.079112,3.120504,0
59782.2274,Y,-1.96729,7.611984,0
59797.2861,r,0.656703,1.076419,0
59797.2938,g,-0.541007,1.1215,0
59797.3015,i,0.006701,1.940236,0
59797.3126,z,0.173954,2.81309,0
59797.3237,Y,8.730179,7.021945,0
59800.3168,r,0.351651,2.314247,0
59800.3244,g,-0.149288,3.386416,0
59800.332,i,0.933638,2.668798,0
59800.3429,z,-0.420395,3.073888,0
59800.3539,Y,-16.347792,6.577383,0
59807.1738,r,-1.794293,1.626621,0
59807.1815,g,1.314263,2.109509,0
59807.1892,i,0.130413,1.742901,0
59807.2003,z,1.034073,2.208558,0
59807.2114,Y,-3.795309,5.113645,0
59810.1045,r,2.190744,1.042589,0
59810.1122,g,0.767158,1.009452,0
59810.12,i,2.735623,1.78797,0
59810.1311,z,1.496383,2.747884,0
59810.1422,Y,2.682827,6.593746,0
59813.1044,r,0.120717,0.995565,0
59813.1122,g,-1.120522,0.969979,0
59813.1199,i,-0.203523,1.582031,0
59813.131,z,-1.758039,2.602768,0
59813.1422,Y,-3.750859,5.937712,0
59819.1532,u,-2.882104,1.958269,0
59820.1047,u,-0.136619,1.901093,0
59821.1026,u,1.377299,2.739204,0
59822.1105,u,0.095892,3.230563,0
59823.1505,u,-2.273784,3.013551,0
59835.06,r,1.433476,1.679279,0
59835.0678,g,0.431221,2.519143,0
59835.0755,i,-0.679702,2.276169,0
59835.0866,z,1.512194,2.795158,0
59835.0978,Y,-2.597183,5.878518,0
59839.0306,r,-1.145019,1.196714,0
59839.0384,g,0.251687,1.163463,0
59839.0461,i,0.249775,1.607113,0
59839.0573,z,3.056416,2.155895,0
59839.0684,Y,-0.141823,5.262099,0
59842.0207,r,-1.666475,1.049325,0
59842.0285,g,1.347564,1.064038,0
59842.0362,i,0.490306,1.618133,0
59842.0473,z,1.283683,2.336359,0
59842.0585,Y,-8.716164,5.294744,0
59851.1114,u,0.072989,1.886891,0
59854.0796,r,-1.224124,1.124462,0
59854.0873,g,0.684397,1.215176,0
59854.095,i,1.698578,1.494252,0
59854.1061,z,-1.833184,2.210006,0
59854.1172,Y,-0.886476,5.264373,0
59857.0453,r,-2.693979,1.799292,0
59857.0531,g,0.200426,2.498372,0
59857.0608,i,1.307462,1.908543,0
59857.0719,z,-2.646215,2.462455,0
59857.083,Y,-14.954117,5.481318,0
59864.0162,r,-0.165339,0.863559,0
59864.0239,g,-1.128609,0.899417,0
59864.0316,i,0.437891,1.420524,0
59864.0428,z,4.273885,2.356518,0
59864.0539,Y,3.783237,5.963099,0
59867.0178,r,1.157751,1.330689,0
59867.0255,g,0.414453,1.333884,0
59867.0332,i,-2.534483,2.210778,0
59867.0443,z,1.965889,3.257911,0
59867.0554,Y,8.445547,9.534307,0
59870.0194,r,0.136727,0.942093,0
59870.0272,g,-0.559959,0.942222,0
59870.0349,i,1.104813,1.519072,0
59870.0459,z,0.227635,2.551803,0
59870.0571,Y,5.745044,5.960035,0
59873.0212,r,0.050975,0.750612,0
59873.0289,g,0.297937,0.773666,0
59873.0366,i,-1.017753,1.247377,0
59873.0477,z,0.670893,1.904748,0
59873.0588,Y,0.662087,4.84017,0
59874.0599,u,-0.709037,1.632634,0
59875.0311,u,-1.021234,1.355335,0
59876.0231,u,-1.031182,2.183406,0
59877.0238,u,-2.187843,1.640789,0
59878.0246,u,-2.486381,1.67373,0
59879.0248,u,1.523024,1.724798,0
59880.0258,u,-0.020892,1.388072,0
59884.0823,r,1.006724,1.108984,0
59884.09,g,1.301948,1.529903,0
59884.0976,i,0.473015,1.540903,0
59884.1085,z,-2.979566,2.026701,0
59884.1195,Y,-10.059357,4.922562,0
59887.0298,r,1.506105,1.903432,0
59887.0375,g,0.660901,3.01692,0
59887.0451,i,1.105236,2.305571,0
59887.0562,z,-0.967501,2.277966,0
59887.0673,Y,-7.133375,5.394755,0
60118.4163,u,1.044727,1.606814,0
60124.2541,r,2.428831,2.317563,0
60124.2618,g,-1.591812,3.001287,0
60124.2695,i,-0.412655,2.531983,0
60124.2807,z,-3.825593,3.004711,0
60124.2918,Y,7.487666,6.742468,0
60140.229,u,-2.829007,1.926011,0
60141.2225,u,2.673039,3.648287,0
60142.2202,u,6.34616,3.195176,0
60143.2212,u,-4.264366,2.49517,0
60144.2186,u,4.312706,2.005133,0
60145.2123,u,-2.264001,2.489865,0
60153.2274,r,0.437388,1.403732,0
60153.2351,g,0.327576,1.928331,0
60153.2428,i,0.437905,1.666696,0
60153.2539,z,2.954636,2.090102,0
60153.265,Y,-5.190212,5.311284,0
60162.1477,r,1.571557,1.914711,0
60162.1554,g,1.743277,2.653354,0
60162.1631,i,1.378148,2.800159,0
60162.1742,z,4.224583,3.171745,0
60162.1853,Y,10.280365,8.049307,0
60165.1369,r,0.519373,0.861107,0
60165.1446,g,-0.062927,0.724841,0
60165.1524,i,-0.674683,1.381668,0
60165.1635,z,1.284851,2.201725,0
60165.1746,Y,3.908219,5.679491,0
60168.126,r,-0.026725,0.894239,0
60168.1337,g,-0.031875,0.874382,0
60168.1414,i,-0.91158,1.679714,0
60168.1525,z,-0.646183,2.399788,0
60168.1637,Y,-1.955675,5.451318,0
60176.1332,u,3.763975,2.453861,0
60177.137,u,2.915597,2.886501,0
60181.3147,r,0.865471,1.279823,0
60181.3223,g,-2.414828,1.264736,0
60181.3299,i,4.096978,2.240508,0
60181.3409,z,0.427683,4.054212,0
60181.3518,Y,-1.577052,8.822093,0
60184.3625,r,1.403327,2.170278,0
60184.3701,g,2.867543,2.622281,0
60184.3777,i,-0.820908,2.51719,0
60184.3887,z,-2.912723,2.918437,0
60184.3996,Y,1.995068,6.950442,0
60194.1575,r,0.240105,1.083837,0
60194.1652,g,0.257319,1.078666,0
60194.1729,i,-0.418811,1.808338,0
60194.1839,z,-1.452009,3.16847,0
60194.1926,Y,-1.396959,11.365273,0
60197.1181,r,0.183336,1.115337,0
60197.1258,g,-0.620932,0.929839,0
60197.1335,i,-1.635165,1.352932,0
60197.1446,z,-1.282325,2.056881,0
60197.1557,Y,1.987301,5.025475,0
60198.1077,u,1.707119,2.524458,0
60199.0914,u,-5.680752,3.220977,0
60200.065,u,-0.562917,2.596112,0
60201.068,u,1.123249,2.966139,0
60202.0552,u,-5.405015,2.138526,0
60206.1107,u,0.281983,1.596845,0
60207.1469,u,0.355739,2.902087,0
60208.0229,r,1.189888,1.446641,0
60208.0307,g,0.200151,1.375395,0
60208.0384,i,-0.132748,1.853688,0
60208.0495,z,1.127008,2.750869,0
60208.0606,Y,19.408031,7.476852,0
60211.0124,r,-5.569989,2.286624,0
60211.0202,g,-2.494168,3.106383,0
60211.0279,i,3.58481,2.632688,0
60211.039,z,-2.023871,3.500577,0
60211.0502,Y,1.522865,9.23983,0
60221.0153,r,1.35859,1.014062,0
60221.023,g,0.481769,0.904595,0
60221.0308,i,-3.125401,1.381578,0
60221.0419,z,-0.526466,2.192163,0
60221.053,Y,-2.263258,5.701497,0
60224.014,r,0.228861,1.164912,0
60224.0217,g,-2.142323,1.069268,0
60224.0294,i,1.426683,1.920312,0
60224.0405,z,4.316839,2.588962,0
60224.0516,Y,-4.614693,5.902894,0
60227.0151,r,2.401958,1.072716,0
60227.0228,g,-2.144811,1.021121,0
60227.0305,i,-0.535776,1.617715,0
60227.0416,z,-0.281723,2.246752,0
60227.0527,Y,-1.958854,5.630651,0
60228.0187,u,0.319085,2.793802,0
60229.0162,u,1.184015,2.811625,0
60234.0265,u,2.082237,2.331769,0
60237.2206,r,0.20208,0.935519,0
60237.2283,g,-0.14952,0.888972,0
60237.2359,i,-0.226435,1.534149,0
60237.2468,z,-0.010059,2.530138,0
60237.2578,Y,5.832928,7.100049,0
60240.0223,r,0.266315,2.030193,0
60240.03,g,-3.490915,2.709362,0
60240.0377,i,-1.167169,2.678021,0
60240.0488,z,-5.107215,3.040101,0
60240.0598,Y,9.714255,5.857956,0
60249.0338,r,-1.698002,0.880306,0
60249.0415,g,-0.621559,0.790264,0
60249.0492,i,-0.589162,1.302013,0
60249.0602,z,-1.262555,2.135495,0
60249.0712,Y,-3.636164,5.218157,0
60260.0423,u,2.718142,2.733891,0
60261.0361,u,3.422075,1.984009,0
60262.0367,u,-0.004797,1.885889,0
60263.0373,u,-1.199678,2.259977,0
60264.0465,u,3.488372,1.991402,0
60490.2647,r,2.391485,1.507111,0
60490.2725,g,-0.952758,1.836999,0
60490.2802,i,-2.271177,2.096879,0
60490.2913,z,-2.345378,2.983393,0
60490.3024,Y,-5.19569,7.158863,0
60493.2372,r,1.810987,1.073177,0
60493.245,g,0.915401,1.004968,0
60493.2527,i,0.67304,1.689244,0
60493.2639,z,2.682338,2.571058,0
60493.275,Y,2.878909,6.22306,0
60499.2467,u,0.560085,2.68027,0
60500.2437,u,2.24542,2.149011,0
60501.2385,u,-1.575556,2.369178,0
60502.2355,u,0.316808,2.70601,0
60508.2638,r,-0.94996,2.475527,0
60508.2715,g,1.469753,3.571097,0
60508.2792,i,2.162136,2.710474,0
60508.2903,z,4.784799,3.312016,0
60508.3014,Y,11.26332,7.484432,0
60524.239,u,-1.874515,2.143197,0
60525.1736,u,0.99927,3.02408,0
60532.3489,r,-0.159266,0.878012,0
60532.3565,g,0.407292,0.866055,0
60532.3641,i,1.129081,1.481281,0
60532.3751,z,3.928226,2.345992,0
60532.386,Y,1.668536,6.02044,0
60535.1253,r,3.775341,1.926008,0
60535.133,g,-0.941292,2.504429,0
60535.1408,i,2.351201,2.423772,0
60535.1519,z,0.334298,3.328624,0
60535.163,Y,19.191622,7.837355,0
60538.2351,r,0.583835,1.829695,0
60538.2428,g,2.992037,2.662123,0
60538.2505,i,-0.114615,1.995199,0
60538.2615,z,-3.591851,2.338274,0
60538.2725,Y,-6.101836,5.153829,0
60546.3406,r,-1.020535,1.92966,0
60546.3482,g,-1.409679,2.898553,0
60546.3558,i,-0.970718,2.33247,0
60546.3668,z,1.740393,3.153373,0
60546.3777,Y,0.659025,7.706223,0
60549.0879,r,-0.60532,1.126429,0
60549.0956,g,1.56441,1.058871,0
60549.1034,i,0.287935,1.764206,0
60549.1145,z,2.916599,2.673047,0
60549.1256,Y,-7.796191,6.494315,0
60554.0964,u,-0.812943,2.552749,0
60555.0951,u,0.668333,2.072625,0
60556.0879,u,2.022023,2.565331,0
60557.0831,u,-2.141672,1.857984,0
60558.1093,u,-2.722546,2.359656,0
60559.1097,u,-3.138011,2.035022,0
60560.1065,u,0.370586,2.901355,0
60567.2821,r,6.44345,1.726399,0
60567.2897,g,11.370864,2.375373,0
60567.2973,i,3.446755,1.957219,0
60567.3083,z,6.800385,2.404385,0
60567.3192,Y,2.105788,5.481514,0
60574.1118,r,8.16563,1.577521,1
60574.1195,g,13.410643,2.254595,1
60574.1272,i,5.192809,2.012114,0
60574.1383,z,7.310327,2.550858,0
60574.1493,Y,9.40806,5.78901,0
60577.0186,r,11.747221,1.498659,1
60577.0263,g,13.717072,1.447772,1
60577.034,i,6.712587,2.362945,0
60577.0451,z,4.609312,3.553049,0
60577.0563,Y,1.641959,8.595081,0
60580.0095,r,11.183625,1.47915,1
60580.0173,g,15.196615,1.437664,1
60580.025,i,11.626052,2.341825,0
60580.0361,z,3.462564,3.513878,0
60580.0472,Y,12.588341,8.502823,0
60582.084,u,12.937894,2.169449,0
60583.0169,u,10.924619,3.066508,0
60584.0117,u,16.191494,2.416801,1
60585.0117,u,15.975734,1.988925,1
60586.0123,u,14.522547,1.915012,1
60587.0127,u,11.102138,2.195885,1
60588.0131,u,15.507067,1.789482,1
60593.0636,r,11.742558,0.975339,1
60593.0713,g,13.683941,1.168597,1
60593.079,i,11.327381,1.372798,1
60593.0901,z,10.143175,2.000768,1
