mjd,band,flux,fluxerr,detected_bool
59770.3662,r,0.875711,0.622555,0
59770.374,g,-0.004677,0.606517,0
59770.3817,i,-0.253015,1.0546,0
59770.3928,z,-0.905812,1.810783,0
59770.4039,Y,-7.836292,4.619794,0
59779.3999,r,1.490921,2.058549,0
59779.4075,g,3.647162,2.793702,0
59779.4151,i,-3.106007,2.461655,0
59779.4261,z,-5.463781,3.271941,0
59779.437,Y,11.423077,8.570516,0
59782.2372,r,-1.313136,1.223969,0
59782.245,g,0.850832,1.155665,0
59782.2527,i,-0.699122,2.064864,0
59782.2639,z,-1.549203,2.559419,0
59782.2751,Y,12.162299,6.328671,0
