mjd,band,flux,fluxerr,detected_bool
59825.26,r,0.614368,0.935145,0
59825.2676,g,0.838389,1.016251,0
59825.2752,i,4.954193,1.878544,0
59825.2862,z,1.757044,2.986871,0
59825.2971,Y,-1.80753,7.125295,0
59839.2161,r,0.155437,1.136623,0
59839.2236,g,0.071314,1.24985,0
59839.2313,i,1.133027,1.729685,0
59839.2422,z,-3.382247,2.486015,0
59839.2532,Y,-2.382403,5.829792,0
59842.1987,r,-0.367008,1.040366,0
59842.2064,g,1.117181,0.984523,0
59842.214,i,0.959039,1.618485,0
59842.225,z,0.609127,2.304116,0
59842.2359,Y,5.889701,5.520708,0
