mjd,band,flux,fluxerr,detected_bool
59750.4229,r,3.218279,1.514095,0
59750.4306,g,-1.702197,2.119893,0
59750.4383,i,7.549735,2.313408,0
59750.445,z,23.481728,10.360363,0
59752.407,r,1.91542,1.070986,0
59752.4147,g,0.953769,1.115527,0
59752.4224,i,6.284167,1.470126,1
59752.4334,z,14.542916,2.361075,1
59752.4435,Y,20.977871,9.508318,0
59767.2968,r,1.111267,0.886386,0
59767.3045,g,0.505489,0.766173,0
59767.3122,i,2.268754,1.34347,0
59767.3233,z,5.060724,2.14831,0
59767.3343,Y,13.425319,5.005431,0
59770.2179,r,2.121134,2.045168,0
59770.2256,g,0.380547,2.778339,0
59770.2334,i,3.396309,2.150697,0
59770.2445,z,7.828712,2.677722,0
59770.2557,Y,13.516662,6.300733,0
