mjd,band,flux,fluxerr,detected_bool
59798.3205,r,2.012773,1.36848,0
59798.3281,g,-0.723894,1.16113,0
59798.3357,i,10.109043,1.778799,0
59798.3466,z,16.238802,2.620268,1
59798.3576,Y,38.144535,5.407422,0
59801.3553,r,4.422948,2.46848,0
59801.3629,g,-0.717994,3.578261,0
59801.3705,i,6.893562,2.299918,0
59801.3815,z,19.819374,2.534705,1
59801.3924,Y,31.046404,5.416634,1
59818.274,u,2.900016,1.825605,0
59819.2541,u,3.308205,2.48191,0
59820.2522,u,-1.041719,1.925234,0
59821.2478,u,-1.02894,2.469362,0
59822.2433,u,3.242812,2.906136,0
59823.2659,u,0.802208,2.731264,0
59826.3105,r,0.551988,0.927913,0
59826.3181,g,-0.747236,0.93329,0
59826.3258,i,6.308574,1.520159,0
59826.3367,z,12.567163,2.17124,1
59826.3477,Y,17.742268,5.564423,0
59842.2456,r,1.311018,0.857022,0
59842.2532,g,1.302511,0.824668,0
59842.2608,i,3.87749,1.330778,0
59842.2718,z,12.718527,2.181247,1
59842.2827,Y,23.923178,6.100916,0
59851.1792,u,2.854259,2.621861,0
59854.1485,r,0.861698,1.233908,0
59854.1563,g,0.9635,1.351583,0
59854.164,i,2.435384,1.91356,0
59854.175,z,12.854517,2.786791,0
59854.186,Y,15.011397,5.816462,0
59857.1408,r,2.240908,2.147284,0
59857.1485,g,-7.442865,2.947374,0
59857.1563,i,1.381229,2.105327,0
59857.1673,z,6.670905,2.690619,1
59857.1782,Y,12.322819,6.65715,0
59867.1112,r,-1.090149,1.091319,0
59867.1189,g,0.025289,0.984991,0
59867.1267,i,3.753883,1.549414,0
59867.1377,z,7.327011,2.370237,1
59867.1487,Y,16.44865,5.859545,0
59870.1049,r,0.02597,0.978286,0
59870.1126,g,0.478894,0.831544,0
59870.1204,i,4.589178,1.383346,0
59870.1314,z,11.797997,2.298163,0
59870.1424,Y,12.398906,5.304698,0
59873.0971,r,-1.677892,1.048747,0
59873.1049,g,0.66262,1.053816,0
59873.1126,i,3.07997,1.451583,0
59873.1236,z,15.122042,2.084979,0
59873.1346,Y,20.231207,4.616412,0
59874.1461,u,0.394882,1.636188,0
59875.0995,u,-0.867193,2.048221,0
