mjd,band,flux,fluxerr,detected_bool
59798.3205,r,-1.943496,1.375499,0
59798.3281,g,-4.230438,1.17323,0
59798.3357,i,-5.461322,1.780914,0
59798.3466,z,-2.266225,2.622281,0
59798.3576,Y,-14.491457,5.398441,0
59801.3553,r,-0.705308,2.477609,0
59801.3629,g,-3.510787,3.597549,0
59801.3705,i,-3.971406,2.305699,0
59801.3815,z,-2.42237,2.534767,0
59801.3924,Y,9.483635,5.422612,0
59818.274,u,-4.140181,1.846835,0
59819.2541,u,-4.247415,2.503259,0
59820.2522,u,-3.657783,1.965303,0
59821.2478,u,-5.220479,2.500979,0
59822.2433,u,-4.977596,2.926964,0
59823.2659,u,-4.569218,2.761457,0
59826.3105,r,-3.695519,0.934494,1
59826.3181,g,-3.361987,0.946388,0
59826.3258,i,-3.926683,1.524302,0
59826.3367,z,-3.59865,2.173227,0
59826.3477,Y,-14.395033,5.567716,0
59842.2456,r,-2.303751,0.864002,0
59842.2532,g,-4.432321,0.834936,0
59842.2608,i,-3.884046,1.33613,0
59842.2718,z,-5.394097,2.182629,0
59842.2827,Y,-1.361994,6.107434,0
59851.1792,u,-1.795033,2.654373,0
59854.1485,r,0.050469,1.242338,0
59854.1563,g,1.234506,1.36746,0
59854.164,i,0.69413,1.922232,0
59854.175,z,-2.169917,2.790711,0
59854.186,Y,5.95435,5.829892,0
59857.1408,r,2.659338,2.157245,0
59857.1485,g,-7.405143,2.962653,0
59857.1563,i,1.580566,2.114781,0
59857.1673,z,-5.330578,2.695832,0
59857.1782,Y,-3.644541,6.669013,0
59867.1112,r,0.841839,1.100949,0
59867.1189,g,0.777381,1.004138,0
59867.1267,i,1.814585,1.557908,0
59867.1377,z,-0.07047,2.37619,0
59867.1487,Y,10.916357,5.874623,0
59870.1049,r,0.819633,0.988205,0
59870.1126,g,0.576796,0.851466,0
59870.1204,i,0.809065,1.390839,0
59870.1314,z,-2.138076,2.301324,0
59870.1424,Y,1.966573,5.317111,0
59873.0971,r,3.518738,1.060268,0
59873.1049,g,5.650922,1.078392,0
59873.1126,i,5.528826,1.462765,0
59873.1236,z,2.571141,2.087631,0
59873.1346,Y,13.493717,4.630021,0
59874.1461,u,5.920341,1.722781,0
59875.0995,u,2.725324,2.119269,0
59876.098,u,2.66727,2.527844,0
59877.0976,u,6.306089,1.882181,0
59878.0964,u,9.11295,2.140854,0
59879.0895,u,7.536077,1.986866,0
59880.1017,u,5.149745,1.489157,0
