objid,objclass,timetaken,A_u,t0_u,gamma_u,beta_u,t_rise_u,t_fall_u,A_g,t0_g,gamma_g,beta_g,t_rise_g,t_fall_g,A_r,t0_r,gamma_r,beta_r,t_rise_r,t_fall_r,A_i,t0_i,gamma_i,beta_i,t_rise_i,t_fall_i,A_z,t0_z,gamma_z,beta_z,t_rise_z,t_fall_z,A_Y,t0_Y,gamma_Y,beta_Y,t_rise_Y,t_fall_Y
290499,SNIax,0.04781384468078613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281580,SNIax,0.21783547401428222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201455,TDE,0.12151706218719482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168597,AGN,0.15975749492645264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254624,SNIa,0.06173121929168701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163658,SNIa-91bg,0.10784637928009033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126742,SNIax,0.050711989402770996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148637,SNIa-91bg,0.0757509708404541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177469,SNIax,0.05488363901774088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232342,SNII,0.04618129730224609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207132,SNIax,0.16546058654785156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74982,TDE,0.06054844856262207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209780,AGN,0.0003541707992553711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145074,SNIa,0.0557632843653361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273648,AGN,0.0005768934885660807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117415,SNIbc,0.20363783836364746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289116,SNIax,0.06610822677612305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146621,SNIbc,0.07460419336954753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150,SNIbc,0.07329239845275878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182671,SLSN-I,0.06447339057922363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175174,SLSN-I,0.07951498031616211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132352,SLSN-I,0.06123652458190918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282827,TDE,0.07767331600189209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172069,SNIax,0.16376500129699706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314242,SNIbc,0.0581695556640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222755,SLSN-I,0.10455675919850667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212416,SNIax,0.3713093280792236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237200,SNIa,0.14857931137084962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318874,SLSN-I,0.06040783723195394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254386,SLSN-I,0.06541032791137695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37718,SNIa,0.12361800670623779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260003,SNIa-91bg,0.026764194170633953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143138,SNIax,0.06968107223510742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157326,SNIbc,0.08099350929260254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338628,SNIax,0.04625849723815918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340860,SNIa,0.05084037780761719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113836,TDE,0.06610374450683594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266706,AGN,0.009817695617675782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205360,SNIbc,0.20280747413635253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58139,SLSN-I,0.038478851318359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119137,SNII,0.12922706604003906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119605,SNIa-91bg,0.03857771555582682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86613,SNIax,0.11381144523620605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146937,AGN,0.0005218029022216797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95944,SNIa,0.05620257059733073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299008,TDE,0.27003207206726076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58393,SNIax,0.08292255401611329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210794,TDE,0.03238817056020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280550,SNII,0.04683394432067871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73951,SNIa,0.05510056018829346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220243,SNII,0.04772186279296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196759,SNIax,0.05194602012634277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63067,TDE,0.05381174087524414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232124,SLSN-I,0.08060832023620605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148358,SNIa-91bg,0.1741938591003418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182066,SNIbc,0.05033393700917562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250282,AGN,0.00040035247802734376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222829,AGN,0.00044341882069905597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298372,SNII,0.049673994382222496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249384,SNIa-91bg,0.02690577507019043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43465,SNIa,0.18335485458374023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247556,SNIa-91bg,0.4927046775817871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212132,AGN,0.09323263168334961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52986,SNIax,0.034633827209472653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71533,SNIax,0.08253369331359864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296089,SNIax,0.10713372230529786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161755,SNIax,0.1885757048924764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311300,SNIa-91bg,0.09554057121276856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139334,SNIa,0.2203094164530436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315884,AGN,0.0782333215077718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269841,SNIbc,0.05323894818623861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251212,SNII,0.06753983497619628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128160,SNIbc,0.1730553150177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153443,SNII,0.056166489919026695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95571,SNIa-91bg,0.06904802322387696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183455,SNIbc,0.027352333068847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11260,SNIbc,0.1476961135864258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198396,AGN,0.46268739700317385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227152,AGN,0.06371560096740722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235828,SLSN-I,0.17402949333190917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280183,SNIa,0.08020596504211426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258289,SNIax,0.03246525923411051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27885,TDE,0.07573962211608887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101121,SNIa-91bg,0.06228280067443848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339740,TDE,0.07344643274943034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235595,AGN,0.0004138469696044922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151888,AGN,0.1584765911102295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102737,TDE,0.04301933447519938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3763,SNIbc,0.09193410873413085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161281,SNIbc,0.043742799758911134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289333,SNII,0.15892481803894043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41972,SNII,0.05906767845153808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13371,TDE,0.04267497857411703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86865,TDE,0.14454550743103028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203450,AGN,0.19611029624938964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76068,SNIbc,0.07810626029968262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252323,AGN,0.0005121707916259765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271726,SNIax,0.27144179344177244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175848,AGN,0.1931464672088623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239977,TDE,0.06450430552164714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148205,SLSN-I,0.2943263530731201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340698,SNIa-91bg,0.025922060012817383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160306,AGN,0.1260145664215088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88056,SLSN-I,0.045068701108296715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116440,SNII,0.07225465774536133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286164,SNIa-91bg,0.11473350524902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284917,SNIa,0.11389398574829102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91952,SNIa-91bg,0.06483523050944011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103126,AGN,0.22351422309875488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106269,SLSN-I,0.09324280420939128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111076,AGN,0.058775862058003746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187601,SNIbc,0.059559297561645505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
